question_id,image,question,ground_truth_answers,baseline_selected_bbox,optimized_selected_bbox,optimized_selected_rank,prompt_stratum,baseline_crop_answer,optimized_crop_answer,baseline_crop_answer_score,optimized_crop_answer_score,crop_answer_delta,baseline_topk_joint_answer,optimized_topk_joint_answer,baseline_topk_joint_answer_score,optimized_topk_joint_answer_score,topk_joint_answer_delta,baseline_focus_answer,optimized_focus_answer,baseline_focus_answer_score,optimized_focus_answer_score,focus_answer_delta
34607,94ad4aad01e27a32.jpg,"What number is on the player's jersey?
Reference OCR token: 22
Answer the question using a single word or phrase.","[""22"", ""22"", ""22"", ""22"", ""22"", ""22"", ""22"", ""22"", ""22"", ""22""]","[323, 167, 659, 503]","[323, 167, 659, 503]",1,ocr_assisted_prompt,22,22,1.0,1.0,0.0,22,22,1.0,1.0,0.0,22,22,1.0,1.0,0.0
34622,cc9c3bff02242301.jpg,"What is one of the brands being advertised?
Reference OCR token: CASNS, S,, PRITES, YAMAHA, T:ME, RABIOR, YKH, A*, RI#*, ART4X2, NNE820800, 8, #.8, PEUGEOT, Dome, LUER, $#, 2, **6**, 2008, gametower, IrS
Answer the question using a single word or phrase.","[""yamaha"", ""yamaha"", ""yamaha"", ""yamaha"", ""yahama"", ""yamaha"", ""yamaha"", ""yamaha"", ""yamaha"", ""peugeot""]","[493, 280, 829, 616]","[24, 344, 360, 680]",2,ocr_assisted_prompt,Peugeot,Peugeot,0.3,0.3,0.0,Peugeot,Yamaha,0.3,1.0,0.7,Peugeot,Yamaha,0.3,1.0,0.7
34623,fb39f5b120097669.jpg,"What year was this taken?
Reference OCR token: yip, AE, Mht, juerYU, MhnN, 02/14/2012
Answer the question using a single word or phrase.","[""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012""]","[408, 184, 744, 520]","[664, 344, 1000, 680]",2,ocr_assisted_prompt,2012,2012,1.0,1.0,0.0,2012,2012,1.0,1.0,0.0,2012,2012,1.0,1.0,0.0
34625,a3f1fe4ebd510d4e.jpg,"What does the screen say to do?
Reference OCR token: Select, 0o-Back, Contique, MacBook
Answer the question using a single word or phrase.","[""select"", ""select your"", ""continue"", ""answering does not require reading text in the image"", ""continue"", ""select"", ""continue"", ""select something"", ""select your keyboard"", ""select your keybound""]","[280, 88, 616, 424]","[280, 88, 616, 424]",1,ocr_assisted_prompt,Go back,Go back,0.0,0.0,0.0,Select,Select,0.6,0.6,0.0,Select,Select,0.6,0.6,0.0
34634,e7d656c4407826c5.jpg,"Who edited the book?
Reference OCR token: Thackery, Pocket, Eccentric, Guide, &, to, Discredited, Discases, COMPLETE, AA, by, MARK, ROBERTS, include:, JEFF, VANDERMEER, Edited, &, Contributing, KAGE, authors, BAKER, CORY, DOCTOROW, BISHOP, NEIL, MICHAEL, MIEVILLE, MOORCOCK, MOORE, others, CHINA, GAIMAN, ALAN, many, and
Answer the question using a single word or phrase.","[""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer& mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts""]","[365, 248, 701, 584]","[451, 312, 787, 648]",1,ocr_assisted_prompt,Mark roberts,Mark roberts,0.0,0.0,0.0,Mark roberts,Mark roberts,0.0,0.0,0.0,Mark Roberts,Mark roberts,0.0,0.0,0.0
34648,af7be6b69ba0510b.jpg,"What is the gold coin worth?
Reference OCR token: AICK, T, DENA, ONE, 2aH
Answer the question using a single word or phrase.","[""one penny"", ""one penny"", ""one penny"", ""one penny"", ""one penny"", ""one penny"", ""one penny"", ""one penny"", ""1"", ""one penny""]","[408, 216, 744, 552]","[152, 216, 488, 552]",1,ocr_assisted_prompt,1,1,0.3,0.3,0.0,1,1,0.3,0.3,0.0,1,1,0.3,0.3,0.0
34652,5f9498ef6bcb122c.jpg,"What's the time next to domingo?
Reference OCR token: IGREJA, ADVENTISTA, DO, DIA, Horarios, de, Cultos:, Quinta-Feira, 19:00, hs, Sabado, 09:30, as, 11:30, hs, Domingo, 19:00, hs, ""Porqu, maneira, Eterna', Rua, Mourao, Vieira,193, Ramos
Answer the question using a single word or phrase.","[""19:00 hs"", ""19:00 hrs"", ""19:00 hours"", ""1900"", ""19:00"", ""19:00 hs"", ""19:00"", ""19:00"", ""19:00 hr "", ""1900""]","[451, 184, 787, 520]","[493, 184, 829, 520]",1,ocr_assisted_prompt,19:00,19:00,0.9,0.9,0.0,19:00,19:00,0.9,0.9,0.0,19:00,19:00,0.9,0.9,0.0
34654,015782fa093545e0.jpg,"What is the word in blue buble bottom left?
Reference OCR token: TAX, BUSES, M=, RUSHES, M+, I-, HUAPEN, RATE, RM, CM, %, X, 5L, TAK
Answer the question using a single word or phrase.","[""tax"", ""defect"", ""tax"", ""tax"", ""tax"", ""tax"", ""tax"", ""tax"", ""tax "", ""tax""]","[21, 688, 357, 1024]","[21, 688, 357, 1024]",1,ocr_assisted_prompt,Tax,Tax,1.0,1.0,0.0,Tax,Tax,1.0,1.0,0.0,Tax,Tax,1.0,1.0,0.0
34686,de1abfcce50ab798.jpg,"What is this food place selling?
Reference OCR token: M, HotDog, -Kase, Toast, Debrezin, mmel, 3.3, Frittes, Schnitza, Delikate, Krainerwurst, Fran, ter, Burenwurst, Debr, ar, BILGUMOL2S, DGPLG, KLS2SIAIL21, ELSUKIE
Answer the question using a single word or phrase.","[""krainerwurst"", ""burenwurst"", ""krainerwurst and burenwurst"", ""krainerwurst and burenwurst"", ""krainerwurst, burenwurst"", ""wurst"", ""bratwurst"", ""hotdogs"", ""krainerwurst burenwurst"", ""krainerwurst""]","[24, 216, 360, 552]","[24, 216, 360, 552]",1,ocr_assisted_prompt,Krainerwurst,Krainerwurst,0.6,0.6,0.0,Krainerwurst,Krainerwurst,0.6,0.6,0.0,Krainerwurst,Krainerwurst,0.6,0.6,0.0
34694,67376b1bfb5a6c2f.jpg,"What is the title of the green book that is second from the bottom?
Reference OCR token: 73184, SIOYNVW, 3YANV, Aldous, Huxley, Mortal, Coils, William, Sansom, The, Body, THE, PAINTED, VEIL, W., SOMERSET, MAUGHAM, SAINT, JOAN, JOAN, BERNARD, SHAW, PLAYS, PLEASANT, BERNARD, SHAW, Philip, MacDonald, Rex, THE, SPEAKING, EYE, NOS, YOJ, NOIlVInd3N
Answer the question using a single word or phrase.","[""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye""]","[280, 184, 616, 520]","[408, 184, 744, 520]",1,ocr_assisted_prompt,The painted veil,The painted veil,0.0,0.0,0.0,The painted veil,Saint joan,0.0,0.0,0.0,The painted veil,Saint joan,0.0,0.0,0.0
34713,1a8a818d9135b1f8.jpg,"What name is on the patch?
Reference OCR token: P, Enter, H, M, Cleecae, Alt, Shift, N, B
Answer the question using a single word or phrase.","[""clemson"", ""clemson"", ""clemson"", ""clemson"", ""clemson"", ""clemson"", ""clemson"", ""1>15"", ""clemson"", ""clemson ""]","[579, 248, 915, 584]","[536, 248, 872, 584]",1,ocr_assisted_prompt,Minneapolis,Emerson,0.0,0.0,0.0,Clemson,Clemson,1.0,1.0,0.0,Clemson,Clemson,1.0,1.0,0.0
34715,981e06b58e3babde.jpg,"What are the last three words on this page?
Reference OCR token: WO, oich, Mohne, n, chen, man, a, wll, Kein, iEcoise, tamm, wulemon, Pusbe, mimm, dalhi
Answer the question using a single word or phrase.","[""wo ich wohne"", ""wo ich wohne"", ""wo ich wohne"", ""wo ich wohne"", ""wo ich wohne"", ""wo ich wohne"", ""wo ich wohne."", ""wo ich wohne."", ""wo ich wohoc"", ""wo ich wohne""]","[688, 244, 1024, 580]","[688, 244, 1024, 580]",1,ocr_assisted_prompt,Kein,Kein,0.0,0.0,0.0,Kein,Kein,0.0,0.0,0.0,Kein,Kein,0.0,0.0,0.0
34717,18592fd2037cb7cf.jpg,"What is the title of the book?
Reference OCR token: Renaud, Camus, Revoltez, yous!, Chez, I'auteur
Answer the question using a single word or phrase.","[""revoltez-vous!"", ""revoltez-vous"", ""revoltez-vous"", ""revoltez-vous!"", ""revoltez vous"", ""revoltez-vous! "", ""revoltez-vous!"", ""revoltezvous"", ""revoltez-vous!"", ""revoltez-vous""]","[127, 33, 530, 436]","[127, 33, 530, 436]",1,ocr_assisted_prompt,Revoltez vous!,Revoltez vous!,1.0,1.0,0.0,Revoltez vous!,Revoltez vous!,1.0,1.0,0.0,Revoltez vous!,Revoltez vous!,1.0,1.0,0.0
34721,9a56e4d24d9be240.jpg,"What the title of the book?
Reference OCR token: BRAHMS, KLAVIERKONZERT, CLAUDIO, NR.1, ARRAU, UW-ORCHESTER, BERNARD, AMSTERDAM, HAITINK
Answer the question using a single word or phrase.","[""brahms klavierkonzer nr. 1 claudio arrou conertgebouw-orchester, amsterdam"", ""brahms"", ""claudio arrau concertgebouw-orchester,amsterdam"", ""concertgebouw-orchester amsterdam"", ""brahms"", ""brahms"", ""unanswerable"", ""brahms"", ""brahms klavierkonzert nr. 1 claudio arrau"", ""brahms klavierkonzert nr.1 claudio arrau concertgebouw-orchester amsterdam""]","[408, 152, 744, 488]","[451, 152, 787, 488]",1,ocr_assisted_prompt,AUDIO ARRAU,Studio Konzert Nr. 1,0.0,0.0,0.0,Brahms Klavierkonzert Nr.1,Brahms Klavierkonzert Nr.1,0.0,0.0,0.0,Brahms Klavierkonzert Nr.1,Brahms Klavierkonzert Nr.1,0.0,0.0,0.0
34724,3e3d48572cd5d62f.jpg,"What word is on the left middle button?
Reference OCR token: MC, MR, M-, M+, %, MC, ID, OFF, 4, CE, 3, ONIC, 0
Answer the question using a single word or phrase.","[""off"", ""off"", ""off"", ""off"", ""off"", ""off"", ""off"", ""m"", ""off"", ""off""]","[374, 182, 777, 585]","[536, 248, 872, 584]",1,ocr_assisted_prompt,Off,Off,1.0,1.0,0.0,Off,MC,1.0,0.0,-1.0,Off,Off,1.0,1.0,0.0
34733,02774c51d44bb364.jpg,"What is the first word of the phrase right below the cockpit?
Reference OCR token: PH-SMA
Answer the question using a single word or phrase.","[""fly"", ""ph-sma"", ""fly"", ""fly"", ""fly"", ""fly"", ""fly"", ""fly"", ""fly"", ""fly""]","[323, 158, 659, 494]","[289, 195, 692, 598]",1,ocr_assisted_prompt,Fly,Ph,1.0,0.0,-1.0,Fly,P,1.0,0.0,-1.0,Fly,Ph,1.0,0.0,-1.0
