benchmark,question_id,image,question,category,ground_truth,original_answer,crop_answer,legacy_joint_answer,topk_joint_answer,focus_answer,score_original,score_crop_only,score_legacy_dual,score_topk_dual,score_focus,selected_rank,selection_changed,selected_bbox,legacy_bbox
pope,7,COCO_val2014_000000210789.jpg,"Is there a truck in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 50, 369, 520]","[0, 50, 369, 520]"
pope,18,COCO_val2014_000000429109.jpg,"Is there a truck in the image?
Answer the question using a single word or phrase.",adversarial,no,Yes,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,1,False,"[0, 63, 336, 399]","[0, 63, 336, 399]"
pope,20,COCO_val2014_000000211674.jpg,"Is there a dining table in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 406]","[0, 0, 470, 406]"
pope,27,COCO_val2014_000000458338.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 403, 333]","[0, 0, 403, 333]"
pope,32,COCO_val2014_000000283412.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[304, 63, 640, 399]","[304, 63, 640, 399]"
pope,55,COCO_val2014_000000017708.jpg,"Is there a bird in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 58, 403, 461]","[0, 58, 403, 461]"
pope,105,COCO_val2014_000000131115.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[304, 64, 640, 400]","[304, 64, 640, 400]"
pope,116,COCO_val2014_000000381895.jpg,"Is there a car in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 307]","[0, 0, 470, 307]"
pope,126,COCO_val2014_000000336872.jpg,"Is there a fork in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[304, 52, 640, 388]","[304, 52, 640, 388]"
pope,145,COCO_val2014_000000218224.jpg,"Is there a truck in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[170, 0, 640, 361]","[170, 0, 640, 361]"
pope,153,COCO_val2014_000000297078.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 336, 336]","[0, 0, 336, 336]"
pope,155,COCO_val2014_000000297078.jpg,"Is there a skis in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 336, 336]","[0, 0, 336, 336]"
pope,175,COCO_val2014_000000288639.jpg,"Is there a sink in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 92, 336, 428]","[0, 92, 336, 428]"
pope,221,COCO_val2014_000000498759.jpg,"Is there a car in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 46, 336, 382]","[0, 46, 336, 382]"
pope,227,COCO_val2014_000000360600.jpg,"Is there a knife in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[19, 72, 355, 408]","[19, 72, 355, 408]"
pope,229,COCO_val2014_000000031773.jpg,"Is there a tv in the image?
Answer the question using a single word or phrase.",adversarial,yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,False,"[0, 58, 403, 461]","[0, 58, 403, 461]"
pope,232,COCO_val2014_000000031773.jpg,"Is there a car in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[232, 92, 568, 428]","[232, 92, 568, 428]"
pope,247,COCO_val2014_000000456178.jpg,"Is there a traffic light in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,No,Yes,Yes,1.0,1.0,0.0,1.0,1.0,2,True,"[52, 304, 388, 640]","[0, 35, 480, 640]"
pope,261,COCO_val2014_000000485564.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[304, 27, 640, 363]","[304, 27, 640, 363]"
pope,268,COCO_val2014_000000454642.jpg,"Is there a dining table in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 375]","[0, 0, 470, 375]"
pope,271,COCO_val2014_000000205729.jpg,"Is there a backpack in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[125, 92, 461, 428]","[125, 92, 461, 428]"
pope,292,COCO_val2014_000000012333.jpg,"Is there a car in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 538, 416]","[0, 0, 538, 416]"
pope,304,COCO_val2014_000000515904.jpg,"Is there a bottle in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[102, 0, 640, 428]","[102, 0, 640, 428]"
pope,324,COCO_val2014_000000538236.jpg,"Is there a backpack in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 428]","[0, 0, 470, 428]"
pope,345,COCO_val2014_000000054025.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[285, 27, 621, 363]","[285, 27, 621, 363]"
pope,353,COCO_val2014_000000084447.jpg,"Is there a bicycle in the image?
Answer the question using a single word or phrase.",adversarial,yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,False,"[72, 52, 408, 388]","[72, 52, 408, 388]"
pope,370,COCO_val2014_000000354088.jpg,"Is there a truck in the image?
Answer the question using a single word or phrase.",adversarial,no,Yes,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,1,False,"[170, 0, 640, 428]","[170, 0, 640, 428]"
pope,382,COCO_val2014_000000456552.jpg,"Is there a dining table in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 427]","[0, 0, 470, 427]"
pope,386,COCO_val2014_000000350898.jpg,"Is there a bowl in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 112, 336, 448]","[0, 112, 336, 448]"
pope,399,COCO_val2014_000000021645.jpg,"Is there a clock in the image?
Answer the question using a single word or phrase.",adversarial,yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,False,"[0, 0, 403, 375]","[0, 0, 403, 375]"
pope,404,COCO_val2014_000000528905.jpg,"Is there a dining table in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 470, 426]","[0, 0, 470, 426]"
pope,406,COCO_val2014_000000528905.jpg,"Is there a truck in the image?
Answer the question using a single word or phrase.",adversarial,no,Yes,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,1,False,"[205, 63, 541, 399]","[205, 63, 541, 399]"
pope,433,COCO_val2014_000000564336.jpg,"Is there a person in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 336, 336]","[0, 0, 336, 336]"
pope,439,COCO_val2014_000000231589.jpg,"Is there a chair in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 0, 538, 425]","[0, 0, 538, 425]"
pope,479,COCO_val2014_000000332025.jpg,"Is there a backpack in the image?
Answer the question using a single word or phrase.",adversarial,yes,No,Yes,Yes,Yes,Yes,0.0,1.0,1.0,1.0,1.0,1,False,"[0, 202, 336, 538]","[0, 202, 336, 538]"
pope,488,COCO_val2014_000000455157.jpg,"Is there a car in the image?
Answer the question using a single word or phrase.",adversarial,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[0, 237, 403, 640]","[0, 237, 403, 640]"
pope,499,COCO_val2014_000000199764.jpg,"Is there a backpack in the image?
Answer the question using a single word or phrase.",adversarial,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[125, 63, 461, 399]","[125, 63, 461, 399]"
