benchmark,question_id,image,question,category,ground_truth,original_answer,crop_answer,legacy_joint_answer,topk_joint_answer,focus_answer,score_original,score_crop_only,score_legacy_dual,score_topk_dual,score_focus,selected_rank,selection_changed,selected_bbox,legacy_bbox
gqa,201497576,n315887.jpg,"Are both the phone and the coffee cup the same color?
Answer the question using a single word or phrase.",compare,yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,False,"[170, 0, 640, 425]","[170, 0, 640, 425]"
gqa,201974971,n274905.jpg,"How is the clothing item that is pink called?
Answer the question using a single word or phrase.",query,tank top,Tank top,Tank top,Tank top,Tank top,Tank top,1.0,1.0,1.0,1.0,1.0,1,False,"[152, 63, 488, 399]","[152, 63, 488, 399]"
gqa,201498767,n315887.jpg,"What is the device in front of the flat computer?
Answer the question using a single word or phrase.",query,phone,Keyboard,Keyboard,Keyboard,Keyboard,Keyboard,0.0,0.0,0.0,0.0,0.0,1,False,"[304, 27, 640, 363]","[304, 27, 640, 363]"
gqa,202144708,n37274.jpg,"Is there a blender to the right of the yellow drink?
Answer the question using a single word or phrase.",verify,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,2,True,"[259, 52, 595, 388]","[102, 0, 640, 480]"
gqa,201896034,n111390.jpg,"What is the item of furniture to the right of the lady that is looking down at the cake called?
Answer the question using a single word or phrase.",query,table,Chair,Chair,Chair,Chair,Chair,0.0,0.0,0.0,0.0,0.0,1,False,"[44, 232, 380, 568]","[44, 232, 380, 568]"
gqa,201156466,n146522.jpg,"Do the balls to the left of the other ball look light?
Answer the question using a single word or phrase.",verify,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[158, 0, 561, 403]","[158, 0, 561, 403]"
gqa,201756501,n567860.jpg,"What is common to the door and the kitten?
Answer the question using a single word or phrase.",compare,color,Color,Color,Color,Color,Color,1.0,1.0,1.0,1.0,1.0,3,True,"[78, 0, 616, 480]","[285, 32, 621, 368]"
gqa,201056072,n259002.jpg,"Who is running?
Answer the question using a single word or phrase.",query,soccer player,Boy,Man,Man,Man,Man,0.0,0.0,0.0,0.0,0.0,1,False,"[170, 0, 640, 394]","[170, 0, 640, 394]"
gqa,201047479,n234683.jpg,"Is the dress shirt gray or teal?
Answer the question using a single word or phrase.",choose,teal,Teal,Teal,Teal,Teal,Teal,1.0,1.0,1.0,1.0,1.0,1,False,"[76, 304, 412, 640]","[76, 304, 412, 640]"
gqa,201595841,n302358.jpg,"Is the person near the grass sitting on a bench?
Answer the question using a single word or phrase.",verify,yes,Yes,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0,1.0,1,False,"[304, 0, 640, 304]","[304, 0, 640, 304]"
gqa,20692296,n499081.jpg,"What is resting on the marble counter?
Answer the question using a single word or phrase.",query,books,Towel,Book,Book,Book,Book,0.0,0.0,0.0,0.0,0.0,1,False,"[0, 0, 470, 427]","[0, 0, 470, 427]"
gqa,20679393,n493357.jpg,"Are there any seals or bunnies in the picture?
Answer the question using a single word or phrase.",logical,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[99, 112, 435, 448]","[99, 112, 435, 448]"
gqa,20710154,n489699.jpg,"Is the sky above an airplane?
Answer the question using a single word or phrase.",verify,no,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,1,False,"[102, 0, 640, 426]","[102, 0, 640, 426]"
gqa,20711540,n549922.jpg,"Which kind of toy is soft?
Answer the question using a single word or phrase.",query,stuffed bear,Stuffed bear,Teddy bear,Teddy bear,Teddy bear,Teddy bear,1.0,0.0,0.0,0.0,0.0,1,False,"[0, 51, 336, 387]","[0, 51, 336, 387]"
gqa,201621812,n275148.jpg,"What is the device to the right of the couch?
Answer the question using a single word or phrase.",query,speaker,Speaker,Printer,Phone,Phone,Phone,1.0,0.0,0.0,0.0,0.0,1,False,"[285, 51, 621, 387]","[285, 51, 621, 387]"
gqa,20480525,n520071.jpg,"Do the tall books look colorful and thick?
Answer the question using a single word or phrase.",logical,no,Yes,Yes,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,1,False,"[152, 92, 488, 428]","[152, 92, 488, 428]"
