case_id,dataset_index,query_zh,expected_answer_zh,expected_answer_en,legacy_bbox,selected_bbox,selected_rank,selection_changed,unconstrained_best_rank,conservative_fallback,candidate_count,legacy_center_hit,selected_center_hit,oracle_center_hit,legacy_iou,selected_iou,oracle_iou,legacy_target_coverage,selected_target_coverage,oracle_target_coverage,original_answer,legacy_joint_answer,reranked_joint_answer,answer_changed,manual_answer_judgment,manual_answer_note,scan_peak_mib,generation_peak_mib
topk_08_07_01,5,图中撑着粉色雨伞的人物的衣服颜色是？,多种颜色（蓝、粉、白等图案）,"multicolored (blue, pink, and white pattern)","[0, 102, 481, 640]","[0, 102, 481, 640]",1,False,1,False,2,True,True,True,0.5570411704240701,0.5570411704240701,0.5570411704240701,1.0,1.0,1.0,The person holding the pink umbrella is wearing a pink and white swimsuit.,The person holding the pink umbrella is wearing a pink and white swimsuit.,The person holding the pink umbrella is wearing a pink and white swimsuit.,False,pass,pink and white are visible dominant dress colors,21352.6,18630.0
topk_08_07_02,22,图中正在切披萨的人物的衣服颜色是？,灰色开衫内搭深蓝色上衣,gray cardigan over a navy blue top,"[205, 132, 541, 468]","[205, 132, 541, 468]",1,False,1,False,3,True,True,True,0.5425977653631285,0.5425977653631285,0.8241363072049317,0.5452631578947369,0.5452631578947369,0.9381578947368421,The person cutting the pizza is wearing blue clothes.,The person cutting the pizza is wearing gray clothes.,The person cutting the pizza is wearing gray clothes.,False,pass,gray cardigan is correctly identified,21273.5,18590.5
topk_08_07_03,35,图中正在给男子佩戴物品的人物的衣服颜色是？,迷彩色,camouflage green and tan,"[232, 178, 568, 514]","[232, 178, 568, 514]",1,False,1,False,3,True,True,True,0.6318470136056026,0.6318470136056026,0.5055014185271988,0.6538639857494937,0.6538639857494937,1.0,The person pinning an item onto the man is wearing camouflage clothes.,The person pinning an item onto the man is wearing green clothes.,The person pinning an item onto the man is wearing green clothes.,False,pass,green is a valid main camouflage color,21352.6,18625.2
topk_08_07_04,41,图中站在沙发前的人物的衣服颜色是？,蓝色格纹,blue plaid,"[0, 102, 480, 640]","[0, 102, 480, 640]",1,False,1,False,2,True,True,True,0.383061607271678,0.383061607271678,0.383061607271678,0.8482428115015974,0.8482428115015974,0.8482428115015974,The person standing in front of the sofa is wearing blue clothes.,The person standing in front of the sofa is wearing blue jeans and a plaid shirt.,The person standing in front of the sofa is wearing blue jeans and a plaid shirt.,False,pass,blue/plaid clothing is correctly identified,21352.6,18631.0
topk_08_07_05,48,图中正在拿着炊具的人物的衣服颜色是？,浅灰色,light gray,"[0, 0, 605, 427]","[0, 0, 605, 427]",1,False,1,False,2,True,True,True,0.5044031973987264,0.5044031973987264,0.5044031973987264,1.0,1.0,1.0,The person holding the cookware is wearing gray clothes.,The person holding the cookware is wearing gray clothes.,The person holding the cookware is wearing gray clothes.,False,pass,gray shirt is correctly identified,21273.5,18590.5
topk_08_07_06,50,图中戴着帽子并在木桶旁写字的人物的衣服颜色是？,深蓝或黑色上衣，搭配卡其色围裙,dark navy or black shirt with a tan apron,"[232, 63, 568, 399]","[232, 63, 568, 399]",1,False,1,False,2,True,True,True,0.47900466562986005,0.47900466562986005,0.3092549476135041,0.8484848484848485,0.8484848484848485,0.9147727272727273,The person wearing a hat and writing beside the barrel is wearing black clothes.,The person wearing a hat and writing beside the barrel is wearing green clothes.,The person wearing a hat and writing beside the barrel is wearing green clothes.,False,fail,answer says green; clothing is dark navy/black with tan apron,21379.6,18639.5
topk_08_07_07,55,图中正在投掷飞盘的人物的衣服颜色是？,深蓝或深灰色图案,dark blue or dark gray patterned,"[99, 52, 435, 388]","[99, 52, 435, 388]",1,False,1,False,3,True,True,True,0.41050952238508326,0.41050952238508326,0.21970955799952083,0.8689320388349514,0.8689320388349514,1.0,The person throwing the frisbee is wearing blue clothes.,The person throwing the frisbee is wearing blue clothes.,The person throwing the frisbee is wearing blue clothes.,False,pass,dark blue patterned shirt is correctly identified as blue,21343.7,18619.7
topk_08_07_08,56,图中举着酒杯的人物的衣服颜色是？,白色,white,"[132, 24, 535, 427]","[132, 24, 535, 427]",1,False,1,False,1,True,True,True,0.7508204594572961,0.7508204594572961,0.7508204594572961,1.0,1.0,1.0,The person holding up the wine glass is wearing white clothes.,The person holding up the wine glass is wearing white clothes.,The person holding up the wine glass is wearing white clothes.,False,pass,white shirt is correctly identified,21338.3,18617.6
topk_08_07_09,59,图中站在冰箱旁的人物的衣服颜色是？,黑色,black,"[232, 0, 568, 327]","[232, 0, 568, 327]",1,False,2,True,2,True,True,True,0.15072083879423329,0.15072083879423329,0.15072083879423329,1.0,1.0,1.0,The person standing beside the refrigerator is wearing black clothes.,The person standing beside the refrigerator is wearing black clothes.,The person standing beside the refrigerator is wearing black clothes.,False,pass,black clothing is correctly identified,21352.6,18625.2
topk_08_07_10,65,图中拿着西兰花的人物的衣服颜色是？,白色和粉色,white and pink,"[0, 102, 480, 640]","[0, 102, 480, 640]",1,False,1,False,2,True,True,True,0.7261869649852702,0.7261869649852702,0.7261869649852702,0.8747967479674796,0.8747967479674796,0.8747967479674796,The person holding the broccoli is wearing pink clothes.,The person holding the broccoli is wearing pink clothes.,The person holding the broccoli is wearing pink clothes.,False,pass,pink is a visible dominant part of the white/pink dress,21338.3,18618.6
topk_08_07_11,71,图中正在打电话的人物的衣服颜色是？,红色,red,"[125, 231, 461, 567]","[125, 231, 461, 567]",1,False,1,False,3,True,True,True,0.6007662835249042,0.6007662835249042,0.821376395293824,0.6007662835249042,0.6007662835249042,0.8407088122605364,The person talking on the phone is wearing red clothes.,The person talking on the phone is wearing red clothes.,The person talking on the phone is wearing red clothes.,False,pass,red jacket is correctly identified,21273.5,18590.5
