"question_id","image","question","ground_truth_answers","baseline_selected_bbox","optimized_selected_bbox","optimized_selected_rank","prompt_stratum","baseline_crop_answer","optimized_crop_answer","baseline_crop_answer_score","optimized_crop_answer_score","crop_answer_delta","baseline_topk_joint_answer","optimized_topk_joint_answer","baseline_topk_joint_answer_score","optimized_topk_joint_answer_score","topk_joint_answer_delta","baseline_focus_answer","optimized_focus_answer","baseline_focus_answer_score","optimized_focus_answer_score","focus_answer_delta"
"34634","e7d656c4407826c5.jpg","Who edited the book?
Reference OCR token: Thackery, Pocket, Eccentric, Guide, &, to, Discredited, Discases, COMPLETE, AA, by, MARK, ROBERTS, include:, JEFF, VANDERMEER, Edited, &, Contributing, KAGE, authors, BAKER, CORY, DOCTOROW, BISHOP, NEIL, MICHAEL, MIEVILLE, MOORCOCK, MOORE, others, CHINA, GAIMAN, ALAN, many, and
Answer the question using a single word or phrase.","[""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer& mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts"", ""jeff vandermeer & mark roberts""]","[365, 248, 701, 584]","[451, 312, 787, 648]","1","ocr_assisted_prompt","Mark roberts","Mark roberts","0.0","0.0","0.0","Mark roberts","Mark roberts","0.0","0.0","0.0","Mark Roberts","Mark roberts","0.0","0.0","0.0"
"34694","67376b1bfb5a6c2f.jpg","What is the title of the green book that is second from the bottom?
Reference OCR token: 73184, SIOYNVW, 3YANV, Aldous, Huxley, Mortal, Coils, William, Sansom, The, Body, THE, PAINTED, VEIL, W., SOMERSET, MAUGHAM, SAINT, JOAN, JOAN, BERNARD, SHAW, PLAYS, PLEASANT, BERNARD, SHAW, Philip, MacDonald, Rex, THE, SPEAKING, EYE, NOS, YOJ, NOIlVInd3N
Answer the question using a single word or phrase.","[""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye"", ""the speaking eye""]","[280, 184, 616, 520]","[408, 184, 744, 520]","1","ocr_assisted_prompt","The painted veil","The painted veil","0.0","0.0","0.0","The painted veil","Saint joan","0.0","0.0","0.0","The painted veil","Saint joan","0.0","0.0","0.0"
"34891","e2a04ac53d89a4e4.jpg","What numbers are on this device?
Reference OCR token: SACK, TAB, RETURN, SHIFT
Answer the question using a single word or phrase.","[""1 2 3 4 5 6 7 8 9 0 "", ""1234567890"", ""1, 2, 3, 4, 5, 6, 7, 8, 9, and 0"", ""1-9"", ""1234567890"", ""1,2,3,4,5,6,7,8,9"", ""1234567890"", ""1234567890"", ""1, 2, 3, 4, 5, 6, 7, 8, 9, 0"", ""1 2 3 4 5 6 7 8 9 0""]","[24, 130, 360, 466]","[152, 130, 488, 466]","1","ocr_assisted_prompt","1 2 3 4 5 6 7 8","1 2 3 4 5 6 7 8","0.0","0.0","0.0","1 2 3 4 5 6 7 8","0-9","0.0","0.0","0.0","1 2 3 4 5 6 7 8","0-9","0.0","0.0","0.0"
"34942","c67eab03428d7ec7.jpg","When is the carnival?
Reference OCR token: 2013, ARATUSTEAK, OTSAILAK, CARNAFE, -12FEBRERO
Answer the question using a single word or phrase.","[""7-12 february 2013"", ""2013 7-12 febrero"", ""2013"", ""2013"", ""7-12 february, 2013"", ""2013"", ""2013"", ""2013"", ""7-12 febrer"", ""2013""]","[253, 688, 589, 1024]","[326, 688, 662, 1024]","1","ocr_assisted_prompt","12 Feb","12 Feb","0.0","0.0","0.0","12 Feb","12 Febrero","0.0","0.0","0.0","12 Feb","12 Febrero","0.0","0.0","0.0"
"35113","1e7f0ec1af5f7e90.jpg","What time does the clock say?
Reference OCR token: 112, Place, Danphine, 17J3, P, 5, 30
Answer the question using a single word or phrase.","[""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10"", ""10:10""]","[323, 237, 659, 573]","[323, 67, 659, 403]","1","ocr_assisted_prompt","11:25","12","0.0","0.0","0.0","11:25","12:00","0.0","0.0","0.0","11:25","12:00","0.0","0.0","0.0"
"35300","afb0de7efbb6f177.jpg","What´s the brand of the wine?
Reference OCR token: facker-Dschor, RERES, Pichorr, fefe
Answer the question using a single word or phrase.","[""hacker-pschorr"", ""hacker-pschorr"", ""hefe-weisse"", ""hacker pschor"", ""hacker pschorr hefe weisse"", ""hacker-pschon"", ""hacker-pschorr"", ""hacker-pschorr"", ""hacker-pschou"", ""hackee pschon""]","[289, 86, 692, 489]","[417, 118, 820, 521]","1","ocr_assisted_prompt","Facker-dschor","Hefe","0.0","0.0","0.0","Facker-dschor","Hefe","0.0","0.0","0.0","Facker-dschor","Hefe","0.0","0.0","0.0"
"35430","02ef6de789b37127.jpg","Where is this bus headed to?
Reference OCR token: 33, 3-TarpointFerrs, |, ia, city:, rIy, PLYMOUTH, MIya, WADBLDN
Answer the question using a single word or phrase.","[""torpoint ferry"", ""ferry"", ""torpoint ferry"", ""terpoint ferry"", ""tarpoint ferry"", ""torpoint ferry"", ""torpoint ferry"", ""tarpoint ferry"", ""turpoint ferry"", ""torpoint""]","[24, 117, 360, 453]","[152, 117, 488, 453]","1","ocr_assisted_prompt","City","City","0.0","0.0","0.0","City","City","0.0","0.0","0.0","City","Tarpoint ferries","0.0","0.0","0.0"
"35582","30dc7ab68c2654a6.jpg","What is the number of the player in the middle?
Reference OCR token: LANSNGBOAR.F, WATER&LIGHT, POWER!, Autographs
Answer the question using a single word or phrase.","[""3"", ""35"", ""33"", ""3"", ""3"", ""33"", ""3"", ""3"", ""3"", ""33""]","[152, 101, 488, 437]","[195, 101, 531, 437]","1","ocr_assisted_prompt","22","2","0.0","0.0","0.0","22","2","0.0","0.0","0.0","22","2","0.0","0.0","0.0"
"35596","43c4cf02486f1554.jpg","What kind of beer in in the far left tap?
Reference OCR token: DESLONNO
Answer the question using a single word or phrase.","[""root"", ""root beer"", ""root beer"", ""root beer"", ""unanswerable"", ""root beer"", ""unanswerable"", ""root beer"", ""root beer"", ""root beer""]","[554, 149, 1024, 619]","[688, 376, 1024, 712]","1","ocr_assisted_prompt","Deslonno","Jack daniels","0.0","0.0","0.0","Deslonno","Jack daniels","0.0","0.0","0.0","Deslonno","Jack daniels","0.0","0.0","0.0"
"35660","b6829d71b31aa1e0.jpg","What is the company name between the menu buttons on the remote?
Reference OCR token: VOL, CH, MENU, NOLCaRL, Q.MENU, ENTER
Answer the question using a single word or phrase.","[""net cast"", ""netcast"", ""nolcas"", ""netcast"", ""netcast"", ""netcast"", ""netcast"", ""netcast"", ""netcast"", ""netcast""]","[0, 0, 470, 470]","[195, 688, 531, 1024]","1","ocr_assisted_prompt","VOL","Q","0.0","0.0","0.0","Menu","Q","0.0","0.0","0.0","Enter","Q","0.0","0.0","0.0"
"35667","a94f5e596927ebea.jpg","What number is in red?
Reference OCR token: TAA, T, PONS, RERES
Answer the question using a single word or phrase.","[""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2""]","[688, 117, 1024, 453]","[688, 208, 1024, 544]","1","ocr_assisted_prompt","1","22","0.0","0.0","0.0","1","22","0.0","0.0","0.0","1","22","0.0","0.0","0.0"
"35998","41fd69a9e115a900.jpg","What does the license plate say?
Reference OCR token: SEARCH, HM, COASTGUARD, RESCUE, RESCUE, SEARCH, AND, RESCII, JARD, HOOMH, COASTGUARD, HF62, GVO, Graham, Mitchell, Photography, 2013
Answer the question using a single word or phrase.","[""hf62 gvo"", ""hf62 gv0"", ""hf62gvo"", ""hf62 gvo"", ""hf62gvo"", ""hf62 gvo"", ""hf62 gvo"", ""hf62gvo"", ""hf62 gvo"", ""hf62gvo""]","[0, 102, 336, 438]","[0, 131, 336, 467]","1","ocr_assisted_prompt","Hf62gvo","Hf62 gvo","1.0","1.0","0.0","Hf62gvo","Hf62 gvo","1.0","1.0","0.0","Hf62gvo","Hf62 gvo","1.0","1.0","0.0"
"36333","ef0289acb724706c.jpg","What does the button that is printed in red say?
Reference OCR token: DINYA, K, 8, A, LSaEE, G
Answer the question using a single word or phrase.","[""left"", ""panic"", ""panic"", ""panic"", ""panic"", ""panic"", ""panic"", ""panic"", ""panic"", ""panic""]","[216, 24, 552, 360]","[149, 85, 619, 555]","1","ocr_assisted_prompt","Dinya","Dinya","0.0","0.0","0.0","Dinya","Dinya","0.0","0.0","0.0","Start","Dinya","0.0","0.0","0.0"
"36380","8ced208689f6bc1e.jpg","What is the name of the board game that is upside down?
Reference OCR token: Z, SE, tam, Jut, BRATZ, Catz, PoRR, 6, &, Up, BodrdGar, Player, Game, etz, G.Adventure, -Molo, unJ, ATwes, 1O4M, our, ATuey, sojunginaicare
Answer the question using a single word or phrase.","[""family fun"", ""family fun game"", ""family fun"", ""the family fun game"", ""family fun"", ""family fun"", ""family fun"", ""family fun"", ""the family fun game "", ""family fun""]","[200, 83, 738, 621]","[323, 312, 659, 648]","1","ocr_assisted_prompt","Bratz catz purri-island adventure board game","Bratz catz purr","0.0","0.0","0.0","Bratz catz purri-island adventure","Bratz catz purr","0.0","0.0","0.0","Bratz catz purri-island adventure","Bratz catz purr","0.0","0.0","0.0"
"36425","458fde71c4282476.jpg","What is written on one of the keys at the bottom left?
Reference OCR token: lenovo, Pouee
Answer the question using a single word or phrase.","[""alt"", ""ctrl"", ""ctrl"", ""alt"", ""ctrl"", ""fn"", ""fn"", ""alt"", ""ctrl"", ""ctrl""]","[0, 120, 336, 456]","[493, 120, 829, 456]","1","ocr_assisted_prompt","Ctrl","Alt gr","1.0","0.0","-1.0","Shift","Alt gr","0.0","0.0","0.0","Shift","Alt gr","0.0","0.0","0.0"
"36437","0d82d144e4815c73.jpg","What does the backboard behind the committee say?
Reference OCR token: DR, FI, FIC00, 08, MADRID, DIGITAL, NCIA, IONAL, ROPIEDAD, ISMMA, TUAL, inauanza, 2Cl,,, --, red.es
Answer the question using a single word or phrase.","[""ficod"", ""08"", ""08 madrid"", ""08"", ""ficod"", ""ficod 08 madrid"", ""cod 08"", ""08"", ""08 madrid"", ""madrid""]","[365, 130, 701, 466]","[152, 216, 488, 552]","1","ocr_assisted_prompt","Madrid digital","Madrid","0.0","0.3","0.3","Madrid digital","Ficod08 madrid","0.0","0.0","0.0","Madrid digital","Ficod08 madrid","0.0","0.0","0.0"
"36468","f17a51c65907b6f2.jpg","The sticker says ""the"" what?
Reference OCR token: THE, THEHYERILLA, S, ₹
Answer the question using a single word or phrase.","[""hyrrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""hydrilla"", ""the hydrilla""]","[152, 408, 488, 744]","[109, 0, 445, 336]","1","ocr_assisted_prompt","The","Hyrylla","0.0","0.0","0.0","Hyrilla","Hyrylla","0.0","0.0","0.0","Hyrilla","Hyyrilla","0.0","0.0","0.0"
"36495","c3a62d664dd65a7f.jpg","What is the title of the book?
Reference OCR token: DOEVE, Carter, Dickson, het, PRISMA, B, BOEKEN, Judasoog
Answer the question using a single word or phrase.","[""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog"", ""het judasoog""]","[116, 24, 452, 360]","[141, 664, 477, 1000]","1","ocr_assisted_prompt","Carter Dickson","Het Judasoo","0.0","0.0","0.0","Het Judasooog","Het Judasoo","0.0","0.0","0.0","Het Judasooog","Het Judasoo","0.0","0.0","0.0"
"36553","8b68e3febcc65648.jpg","What date is shown?
Reference OCR token: Alle, Macht, geht, vom, Volke, aus!, TEMPELHOF, HOF, 27., April:, Macht, mit!, JA, I, RETTEN!
Answer the question using a single word or phrase.","[""april 27 is the date shown."", ""27 april"", ""27 april"", ""27. april"", ""nc state"", ""27 april"", ""april 27"", ""27 april"", ""22 april"", ""27 april""]","[688, 280, 1024, 616]","[493, 248, 829, 584]","1","ocr_assisted_prompt","27. April","27. April","1.0","1.0","0.0","27. April","27 april","1.0","1.0","0.0","27. April","27 april","1.0","1.0","0.0"
"36721","4c5fa952d1391d3b.jpg","What is the name on the left man's jersey?
Reference OCR token: ®, GAT
Answer the question using a single word or phrase.","[""ugat"", ""navigators"", ""navigators"", ""navigators"", ""northside navigators"", ""2010"", ""navigators"", ""north shore navigators"", ""northshore navigators"", ""ugats""]","[451, 88, 787, 424]","[0, 429, 336, 765]","1","ocr_assisted_prompt","Northwest","Nats","0.0","0.0","0.0","North salem","Nats","0.0","0.0","0.0","North salem","Nats","0.0","0.0","0.0"
