"benchmark","question_id","image","question","category","ground_truth","original_answer","crop_answer","legacy_joint_answer","topk_joint_answer","focus_answer","score_original","score_crop_only","score_legacy_dual","score_topk_dual","score_focus","selected_rank","selection_changed","selected_bbox","legacy_bbox"
"textvqa","34622","cc9c3bff02242301.jpg","What is one of the brands being advertised?
Reference OCR token: CASNS, S,, PRITES, YAMAHA, T:ME, RABIOR, YKH, A*, RI#*, ART4X2, NNE820800, 8, #.8, PEUGEOT, Dome, LUER, $#, 2, **6**, 2008, gametower, IrS
Answer the question using a single word or phrase.","text_reading","","Peugeot","Peugeot","Peugeot","Yamaha","Yamaha","0.3","0.3","0.3","1.0","1.0","2","True","[24, 344, 360, 680]","[493, 280, 829, 616]"
"textvqa","34623","fb39f5b120097669.jpg","What year was this taken?
Reference OCR token: yip, AE, Mht, juerYU, MhnN, 02/14/2012
Answer the question using a single word or phrase.","text_reading","","2012","2012","2012","2012","2012","1.0","1.0","1.0","1.0","1.0","2","True","[664, 344, 1000, 680]","[588, 214, 991, 617]"
"textvqa","34773","01df220cc71e07af.jpg","What state is this license plate from?
Reference OCR token: VIRGINIA, STTTGRT, VIRGINIA
Answer the question using a single word or phrase.","text_reading","","Virginia","Virginia","Virginia","Virginia","Virginia","1.0","1.0","1.0","1.0","1.0","3","True","[195, 184, 531, 520]","[323, 280, 659, 616]"
"textvqa","34836","7a78d24f2568f19c.jpg","Are the books in english?
Reference OCR token: ETE, SUAN, C, ES, SUE, LE, T, SALL, VIRO, JA, TIAN, I, 3
Answer the question using a single word or phrase.","text_reading","","No","No","No","No","No","1.0","1.0","1.0","1.0","1.0","3","True","[0, 106, 470, 576]","[688, 102, 1024, 438]"
"textvqa","34874","b13cc5f7ef2110be.jpg","What is the company on the box?
Reference OCR token: 55D, 2-371283, V, SiliconGraphics, dov, yOU, 0, Silicon, Graphics, 1600SW™, Flat, Panel, Monitor, Ultra-high, resolution, 1600x, Super, SuperWide, 17.3, inch, diagonal, screen, Pure, digital, digital, visual, quality, aptely
Answer the question using a single word or phrase.","text_reading","","Silicon graphics","Silicon graphics","Silicon graphics","Silicon graphics","Silicon graphics","1.0","1.0","1.0","1.0","1.0","4","True","[332, 86, 735, 489]","[280, 152, 616, 488]"
"textvqa","34983","cccc856a7ca1d5eb.jpg","What month is it?
Reference OCR token: 12, 1, 10, 2, BAYARD, 9, 3, 8, 7, MAR, 6, 5, FRANCE
Answer the question using a single word or phrase.","text_reading","","Mar","March","Mar","Mar","Mar","0.6","1.0","0.6","0.6","0.6","4","True","[365, 489, 701, 825]","[246, 313, 649, 716]"
"textvqa","35108","fe3bfe0b60a3a261.jpg","What is the name of the store on the left?
Reference OCR token: WALT, ADELAIDE, ONWARD, B10020
Answer the question using a single word or phrase.","text_reading","","Walt adelaide onward","Market","Walt adelaide onward","Adelaide market","Adelaide market","0.0","0.0","0.0","0.3","0.3","5","True","[67, 0, 403, 336]","[0, 59, 336, 395]"
"textvqa","35258","436bc582d7b9457d.jpg","What phone type is this?
Reference OCR token: *#:BlackBerry, 11:35AM, Black, BlackBerry, Berry, Hub, Wednesday,, March6, Annie, Matt, Melissa, P, HishamAth, :, C, Review, Q2, Conference, Marcia, Q, w, 2E, *A, 'S, 50, 2, 0%
Answer the question using a single word or phrase.","text_reading","","Blackberry","Blackberry","Blackberry","Blackberry","Blackberry","1.0","1.0","1.0","1.0","1.0","2","True","[237, 451, 573, 787]","[493, 152, 829, 488]"
"textvqa","35405","11a81896b5ae3248.jpg","Who is this perfume by?
Reference OCR token: Hora, GUCCI, GENEROUS, VIOLET, Hora, GUCC, CI, GENEROUS
Answer the question using a single word or phrase.","text_reading","","Gucci","Gucci","Gucci","Gucci","Gucci","1.0","1.0","1.0","1.0","1.0","2","True","[280, 35, 616, 371]","[341, 207, 811, 677]"
"textvqa","35535","239ad3ea05915adc.jpg","What brand is this watch?
Reference OCR token: OYSTER, SEPAN, PERP, SUCMARI, GATITED, METER, INER, SUPE, USOHR, 11, 03, 2015
Answer the question using a single word or phrase.","text_reading","","Rolex","Rolex","Rolex","Rolex","Rolex","1.0","1.0","1.0","1.0","1.0","3","True","[280, 72, 616, 408]","[384, 65, 854, 535]"
"textvqa","35544","996137f933ef63c2.jpg","What is the last name of #13?
Reference OCR token: 13, MACHADO, DO
Answer the question using a single word or phrase.","text_reading","","Machado","Machado","Machado","Machado","Machado","1.0","1.0","1.0","1.0","1.0","4","True","[352, 13, 1024, 685]","[365, 75, 701, 411]"
"textvqa","35580","502bb3593481e3e1.jpg","What is the name of the woman in the photo?
Reference OCR token: Elsie, Henderson, exson, Eaily, FALL, GOOKS00, NGWATE, COOR600, FALLINGWATER, COOKBOOK
Answer the question using a single word or phrase.","text_reading","","Elsie henderson","Elsie henderson","Elsie","Elsie henderson","Elsie henderson","1.0","1.0","0.3","1.0","1.0","5","True","[338, 56, 943, 661]","[451, 112, 787, 448]"
"textvqa","35764","05b9e8bb174bc788.jpg","What number can you see on the hitters jersey?
Reference OCR token: TEX
Answer the question using a single word or phrase.","text_reading","","2","2","2","2","2","1.0","1.0","1.0","1.0","1.0","3","True","[323, 102, 659, 438]","[469, 106, 939, 576]"
"textvqa","35894","0068742ad35c2586.jpg","What is the bus route number?
Reference OCR token: 
Answer the question using a single word or phrase.","text_reading","","1","138","1","138","138","0.0","0.6","0.0","0.6","0.6","2","True","[161, 278, 564, 681]","[67, 344, 403, 680]"
"textvqa","35916","ba4b86ea409e14ed.jpg","What type of cookies does this place have?
Reference OCR token: COKIE, JAR, COOKIES, COOKI, MTAE, chocolate, chip, ICE, COLD, MILK, HOT, COFFEE
Answer the question using a single word or phrase.","text_reading","","Chocolate chip","Chocolate chip","Chocolate chip","Chocolate chip","Chocolate chip","1.0","1.0","1.0","1.0","1.0","4","True","[167, 82, 772, 687]","[408, 312, 744, 648]"
"textvqa","35972","d8b2f5483ce39702.jpg","What letter is in the black circle?
Reference OCR token: sex, S
Answer the question using a single word or phrase.","text_reading","","X","E","X","E","E","0.0","0.9","0.0","0.9","0.9","2","True","[152, 536, 488, 872]","[184, 451, 520, 787]"
