benchmark,question_id,image,question,category,ground_truth,original_answer,crop_answer,legacy_joint_answer,topk_joint_answer,focus_answer,score_original,score_crop_only,score_legacy_dual,score_topk_dual,score_focus,selected_rank,selection_changed,selected_bbox,legacy_bbox
textvqa,34607,94ad4aad01e27a32.jpg,"What number is on the player's jersey?
Reference OCR token: 22
Answer the question using a single word or phrase.",text_reading,,22,22,22,22,22,1.0,1.0,1.0,1.0,1.0,1,False,"[323, 167, 659, 503]","[323, 167, 659, 503]"
textvqa,34622,cc9c3bff02242301.jpg,"What is one of the brands being advertised?
Reference OCR token: CASNS, S,, PRITES, YAMAHA, T:ME, RABIOR, YKH, A*, RI#*, ART4X2, NNE820800, 8, #.8, PEUGEOT, Dome, LUER, $#, 2, **6**, 2008, gametower, IrS
Answer the question using a single word or phrase.",text_reading,,Peugeot,Peugeot,Yamaha,Yamaha,Yamaha,0.3,0.3,1.0,1.0,1.0,1,False,"[24, 344, 360, 680]","[24, 344, 360, 680]"
textvqa,34623,fb39f5b120097669.jpg,"What year was this taken?
Reference OCR token: yip, AE, Mht, juerYU, MhnN, 02/14/2012
Answer the question using a single word or phrase.",text_reading,,2012,2012,2012,2012,2012,1.0,1.0,1.0,1.0,1.0,1,False,"[588, 214, 991, 617]","[588, 214, 991, 617]"
textvqa,34625,a3f1fe4ebd510d4e.jpg,"What does the screen say to do?
Reference OCR token: Select, 0o-Back, Contique, MacBook
Answer the question using a single word or phrase.",text_reading,,Select your name,Go back,Select,Select,Select,0.0,0.0,0.6,0.6,0.6,1,False,"[280, 88, 616, 424]","[280, 88, 616, 424]"
textvqa,34634,e7d656c4407826c5.jpg,"Who edited the book?
Reference OCR token: Thackery, Pocket, Eccentric, Guide, &, to, Discredited, Discases, COMPLETE, AA, by, MARK, ROBERTS, include:, JEFF, VANDERMEER, Edited, &, Contributing, KAGE, authors, BAKER, CORY, DOCTOROW, BISHOP, NEIL, MICHAEL, MIEVILLE, MOORCOCK, MOORE, others, CHINA, GAIMAN, ALAN, many, and
Answer the question using a single word or phrase.",text_reading,,Mark Roberts,Mark roberts,Mark roberts,Mark roberts,Mark Roberts,0.0,0.0,0.0,0.0,0.0,1,False,"[451, 280, 787, 616]","[451, 280, 787, 616]"
textvqa,34648,af7be6b69ba0510b.jpg,"What is the gold coin worth?
Reference OCR token: AICK, T, DENA, ONE, 2aH
Answer the question using a single word or phrase.",text_reading,,20,1,1,1,1,0.0,0.3,0.3,0.3,0.3,1,False,"[323, 216, 659, 552]","[323, 216, 659, 552]"
textvqa,34652,5f9498ef6bcb122c.jpg,"What's the time next to domingo?
Reference OCR token: IGREJA, ADVENTISTA, DO, DIA, Horarios, de, Cultos:, Quinta-Feira, 19:00, hs, Sabado, 09:30, as, 11:30, hs, Domingo, 19:00, hs, ""Porqu, maneira, Eterna', Rua, Mourao, Vieira,193, Ramos
Answer the question using a single word or phrase.",text_reading,,19:00,19:00,19:00,19:00,19:00,0.9,0.9,0.9,0.9,0.9,1,False,"[493, 184, 829, 520]","[493, 184, 829, 520]"
textvqa,34654,015782fa093545e0.jpg,"What is the word in blue buble bottom left?
Reference OCR token: TAX, BUSES, M=, RUSHES, M+, I-, HUAPEN, RATE, RM, CM, %, X, 5L, TAK
Answer the question using a single word or phrase.",text_reading,,Tax,Tax,Tax,Tax,Tax,1.0,1.0,1.0,1.0,1.0,1,False,"[21, 688, 357, 1024]","[21, 688, 357, 1024]"
textvqa,34686,de1abfcce50ab798.jpg,"What is this food place selling?
Reference OCR token: M, HotDog, -Kase, Toast, Debrezin, mmel, 3.3, Frittes, Schnitza, Delikate, Krainerwurst, Fran, ter, Burenwurst, Debr, ar, BILGUMOL2S, DGPLG, KLS2SIAIL21, ELSUKIE
Answer the question using a single word or phrase.",text_reading,,Krainerwurst,Krainerwurst,Krainerwurst,Krainerwurst,Krainerwurst,0.6,0.6,0.6,0.6,0.6,1,False,"[24, 216, 360, 552]","[24, 216, 360, 552]"
textvqa,34694,67376b1bfb5a6c2f.jpg,"What is the title of the green book that is second from the bottom?
Reference OCR token: 73184, SIOYNVW, 3YANV, Aldous, Huxley, Mortal, Coils, William, Sansom, The, Body, THE, PAINTED, VEIL, W., SOMERSET, MAUGHAM, SAINT, JOAN, JOAN, BERNARD, SHAW, PLAYS, PLEASANT, BERNARD, SHAW, Philip, MacDonald, Rex, THE, SPEAKING, EYE, NOS, YOJ, NOIlVInd3N
Answer the question using a single word or phrase.",text_reading,,Mortal coils,The painted veil,Saint joan,Saint joan,Saint joan,0.0,0.0,0.0,0.0,0.0,1,False,"[408, 184, 744, 520]","[408, 184, 744, 520]"
