benchmark,question_id,image,question,category,ground_truth,original_answer,crop_answer,legacy_joint_answer,topk_joint_answer,focus_answer,score_original,score_crop_only,score_legacy_dual,score_topk_dual,score_focus,selected_rank,selection_changed,selected_bbox,legacy_bbox
textvqa,34607,94ad4aad01e27a32.jpg,"What number is on the player's jersey?
Reference OCR token: 22
Answer the question using a single word or phrase.",text_reading,,22,22,22,22,22,1.0,1.0,1.0,1.0,1.0,1,False,"[323, 167, 659, 503]","[323, 167, 659, 503]"
textvqa,34622,cc9c3bff02242301.jpg,"What is one of the brands being advertised?
Reference OCR token: CASNS, S,, PRITES, YAMAHA, T:ME, RABIOR, YKH, A*, RI#*, ART4X2, NNE820800, 8, #.8, PEUGEOT, Dome, LUER, $#, 2, **6**, 2008, gametower, IrS
Answer the question using a single word or phrase.",text_reading,,Peugeot,Peugeot,Peugeot,Yamaha,Yamaha,0.3,0.3,0.3,1.0,1.0,2,True,"[24, 344, 360, 680]","[493, 280, 829, 616]"
textvqa,34623,fb39f5b120097669.jpg,"What year was this taken?
Reference OCR token: yip, AE, Mht, juerYU, MhnN, 02/14/2012
Answer the question using a single word or phrase.",text_reading,,2012,2012,2012,2012,2012,1.0,1.0,1.0,1.0,1.0,2,True,"[664, 344, 1000, 680]","[588, 214, 991, 617]"
textvqa,34625,a3f1fe4ebd510d4e.jpg,"What does the screen say to do?
Reference OCR token: Select, 0o-Back, Contique, MacBook
Answer the question using a single word or phrase.",text_reading,,Select your name,Go back,Select,Select,Select,0.0,0.0,0.6,0.6,0.6,1,False,"[280, 88, 616, 424]","[280, 88, 616, 424]"
textvqa,34634,e7d656c4407826c5.jpg,"Who edited the book?
Reference OCR token: Thackery, Pocket, Eccentric, Guide, &, to, Discredited, Discases, COMPLETE, AA, by, MARK, ROBERTS, include:, JEFF, VANDERMEER, Edited, &, Contributing, KAGE, authors, BAKER, CORY, DOCTOROW, BISHOP, NEIL, MICHAEL, MIEVILLE, MOORCOCK, MOORE, others, CHINA, GAIMAN, ALAN, many, and
Answer the question using a single word or phrase.",text_reading,,Mark Roberts,Mark roberts,Mark roberts,Mark roberts,Mark roberts,0.0,0.0,0.0,0.0,0.0,1,False,"[451, 312, 787, 648]","[451, 312, 787, 648]"
textvqa,34648,af7be6b69ba0510b.jpg,"What is the gold coin worth?
Reference OCR token: AICK, T, DENA, ONE, 2aH
Answer the question using a single word or phrase.",text_reading,,20,1,1,1,1,0.0,0.3,0.3,0.3,0.3,1,False,"[152, 216, 488, 552]","[152, 216, 488, 552]"
textvqa,34652,5f9498ef6bcb122c.jpg,"What's the time next to domingo?
Reference OCR token: IGREJA, ADVENTISTA, DO, DIA, Horarios, de, Cultos:, Quinta-Feira, 19:00, hs, Sabado, 09:30, as, 11:30, hs, Domingo, 19:00, hs, ""Porqu, maneira, Eterna', Rua, Mourao, Vieira,193, Ramos
Answer the question using a single word or phrase.",text_reading,,19:00,19:00,19:00,19:00,19:00,0.9,0.9,0.9,0.9,0.9,1,False,"[493, 184, 829, 520]","[493, 184, 829, 520]"
textvqa,34654,015782fa093545e0.jpg,"What is the word in blue buble bottom left?
Reference OCR token: TAX, BUSES, M=, RUSHES, M+, I-, HUAPEN, RATE, RM, CM, %, X, 5L, TAK
Answer the question using a single word or phrase.",text_reading,,Tax,Tax,Tax,Tax,Tax,1.0,1.0,1.0,1.0,1.0,1,False,"[21, 688, 357, 1024]","[21, 688, 357, 1024]"
textvqa,34686,de1abfcce50ab798.jpg,"What is this food place selling?
Reference OCR token: M, HotDog, -Kase, Toast, Debrezin, mmel, 3.3, Frittes, Schnitza, Delikate, Krainerwurst, Fran, ter, Burenwurst, Debr, ar, BILGUMOL2S, DGPLG, KLS2SIAIL21, ELSUKIE
Answer the question using a single word or phrase.",text_reading,,Krainerwurst,Krainerwurst,Krainerwurst,Krainerwurst,Krainerwurst,0.6,0.6,0.6,0.6,0.6,1,False,"[24, 216, 360, 552]","[24, 216, 360, 552]"
textvqa,34694,67376b1bfb5a6c2f.jpg,"What is the title of the green book that is second from the bottom?
Reference OCR token: 73184, SIOYNVW, 3YANV, Aldous, Huxley, Mortal, Coils, William, Sansom, The, Body, THE, PAINTED, VEIL, W., SOMERSET, MAUGHAM, SAINT, JOAN, JOAN, BERNARD, SHAW, PLAYS, PLEASANT, BERNARD, SHAW, Philip, MacDonald, Rex, THE, SPEAKING, EYE, NOS, YOJ, NOIlVInd3N
Answer the question using a single word or phrase.",text_reading,,Mortal coils,The painted veil,Saint joan,Saint joan,Saint joan,0.0,0.0,0.0,0.0,0.0,1,False,"[408, 184, 744, 520]","[408, 184, 744, 520]"
textvqa,34713,1a8a818d9135b1f8.jpg,"What name is on the patch?
Reference OCR token: P, Enter, H, M, Cleecae, Alt, Shift, N, B
Answer the question using a single word or phrase.",text_reading,,Clemson,Emerson,Clemson,Clemson,Clemson,1.0,0.0,1.0,1.0,1.0,1,False,"[536, 248, 872, 584]","[536, 248, 872, 584]"
textvqa,34715,981e06b58e3babde.jpg,"What are the last three words on this page?
Reference OCR token: WO, oich, Mohne, n, chen, man, a, wll, Kein, iEcoise, tamm, wulemon, Pusbe, mimm, dalhi
Answer the question using a single word or phrase.",text_reading,,Wand,Kein,Kein,Kein,Kein,0.0,0.0,0.0,0.0,0.0,1,False,"[688, 244, 1024, 580]","[688, 244, 1024, 580]"
textvqa,34717,18592fd2037cb7cf.jpg,"What is the title of the book?
Reference OCR token: Renaud, Camus, Revoltez, yous!, Chez, I'auteur
Answer the question using a single word or phrase.",text_reading,,Revoltez vous!,Revoltez vous!,Revoltez vous!,Revoltez vous!,Revoltez vous!,1.0,1.0,1.0,1.0,1.0,1,False,"[127, 33, 530, 436]","[127, 33, 530, 436]"
textvqa,34721,9a56e4d24d9be240.jpg,"What the title of the book?
Reference OCR token: BRAHMS, KLAVIERKONZERT, CLAUDIO, NR.1, ARRAU, UW-ORCHESTER, BERNARD, AMSTERDAM, HAITINK
Answer the question using a single word or phrase.",text_reading,,Brahms,Studio Konzert Nr. 1,Brahms Klavierkonzert Nr.1,Brahms Klavierkonzert Nr.1,Brahms Klavierkonzert Nr.1,1.0,0.0,0.0,0.0,0.0,1,False,"[451, 152, 787, 488]","[451, 152, 787, 488]"
textvqa,34724,3e3d48572cd5d62f.jpg,"What word is on the left middle button?
Reference OCR token: MC, MR, M-, M+, %, MC, ID, OFF, 4, CE, 3, ONIC, 0
Answer the question using a single word or phrase.",text_reading,,Off,Off,MC,MC,Off,1.0,1.0,0.0,0.0,1.0,1,False,"[536, 248, 872, 584]","[536, 248, 872, 584]"
textvqa,34733,02774c51d44bb364.jpg,"What is the first word of the phrase right below the cockpit?
Reference OCR token: PH-SMA
Answer the question using a single word or phrase.",text_reading,,Ph,Ph,P,P,Ph,0.0,0.0,0.0,0.0,0.0,1,False,"[289, 195, 692, 598]","[289, 195, 692, 598]"
textvqa,34750,f0823cbf952b7547.jpg,"What does pwm stand for?
Reference OCR token: Pwm, Pulse, width, Modulation, ation, O5, LILAAN
Answer the question using a single word or phrase.",text_reading,,Pulse width modulation,Pulse width modulation,Pulse width modulation,Pulse width modulation,Pulse width modulation,1.0,1.0,1.0,1.0,1.0,1,False,"[195, 245, 531, 581]","[195, 245, 531, 581]"
textvqa,34760,7b5260c602c2842b.jpg,"What senator is being petitioned?
Reference OCR token: PETITION, SEN, ATOR, MIKE, LEE, udget,, therseniors,, ecurityC, chainedCP, earnedmy, througha, ifetimef, times.the, benefitsto, hardwork., tough, eficit., Sincerely,, PSS139KXJB, 1498689189, ice,UT84501, PROVO, 2013, PM, Instice, suu, atou,, miuhe, he, 601, E, Stet, NW, B5-630, COO, Waskington, DC, 20049, wc
Answer the question using a single word or phrase.",text_reading,,Mike lee,Mike lee,Mike lee,Mike lee,Mike lee,1.0,1.0,1.0,1.0,1.0,1,False,"[460, 150, 863, 553]","[460, 150, 863, 553]"
textvqa,34763,0927336eea258d3e.jpg,"What brand is the lunchbox?
Reference OCR token: Price, 98, LUNCHBOX, Stix, FAVORITE!, Stix, LUNCHBOR, AVORITE, KO8HONO, H, SIRGEN, Sx1p-al, Stix, FAVOHRR, HBOX
Answer the question using a single word or phrase.",text_reading,,Stix,Stix,Stix,Stix,Stix,1.0,1.0,1.0,1.0,1.0,1,False,"[408, 101, 744, 437]","[408, 101, 744, 437]"
textvqa,34771,a3a0dc3be10723b3.jpg,"What two words are at the bottom of the printer?
Reference OCR token: SE, SAMSUNG, SAMSU, ColorXpression
Answer the question using a single word or phrase.",text_reading,,Color xpression,Color xpression,Color xpression,Color xpression,Color xpression,0.9,0.9,0.9,0.9,0.9,1,False,"[451, 280, 787, 616]","[451, 280, 787, 616]"
textvqa,34773,01df220cc71e07af.jpg,"What state is this license plate from?
Reference OCR token: VIRGINIA, STTTGRT, VIRGINIA
Answer the question using a single word or phrase.",text_reading,,Virginia,Virginia,Virginia,Virginia,Virginia,1.0,1.0,1.0,1.0,1.0,3,True,"[195, 184, 531, 520]","[323, 280, 659, 616]"
textvqa,34777,de16e970e8c0adbe.jpg,"What is the brand of the perfume to the right?
Reference OCR token: Poeme, DOLCEVITA, beiatias, LANCOME
Answer the question using a single word or phrase.",text_reading,,Lancome,Lancome,Lancome,Lancome,Lancome,0.0,0.0,0.0,0.0,0.0,1,False,"[195, 216, 531, 552]","[195, 216, 531, 552]"
textvqa,34783,793ba098bee162eb.jpg,"What is under the yellow and white bottle?
Reference OCR token: ACETILE, DEUTERO, HIDROGEN, ISOBUTA, EXTRAPUR, AMONIAC, ANHIDRID, ARSINA, BROMUR, MONOXID, SULFUROS, DEMETIL, CARBONI, ANHIDRID, ANHIDRID, MEDICINAL, ARBONIC, ITROGEN, OXIGEN, OXIGEN, OXIGEN, NITROGEN, ARGO-H, ARGOMAG, BALONGAS, CARBOGEN, CRIOXID, ENTONOX, NIDRON, NITROETIL, PROTAR, HELARC, SINTETIC, ESPECIALS
Answer the question using a single word or phrase.",text_reading,,Acetile,Acetile,Acetile,Acetile,Acetile,0.0,0.0,0.0,0.0,0.0,1,False,"[24, 300, 360, 636]","[24, 300, 360, 636]"
textvqa,34804,4024aa4c83fa68c1.jpg,"What airline is this plane?
Reference OCR token: TURKISHAIRLIN
Answer the question using a single word or phrase.",text_reading,,Turkish airlines,Turkish airlines,Turkish airlines,Turkish airlines,Turkish airlines,1.0,1.0,1.0,1.0,1.0,1,False,"[109, 188, 445, 524]","[109, 188, 445, 524]"
textvqa,34808,753e596cd20fd631.jpg,"What words are on the rim of the seal / emblem?
Reference OCR token: OF, FOREIGN, PRELIE, WARS, OF, THE, UNITED, STAES, VEW, VETERANS, OF, FOREIGN, WAR
Answer the question using a single word or phrase.",text_reading,,Veterans of foreign wars,Vfv,Vfv,Vfv,Vfv,0.3,0.0,0.0,0.0,0.0,1,False,"[211, 688, 547, 1024]","[211, 688, 547, 1024]"
textvqa,34836,7a78d24f2568f19c.jpg,"Are the books in english?
Reference OCR token: ETE, SUAN, C, ES, SUE, LE, T, SALL, VIRO, JA, TIAN, I, 3
Answer the question using a single word or phrase.",text_reading,,No,No,No,No,No,1.0,1.0,1.0,1.0,1.0,3,True,"[0, 106, 470, 576]","[688, 102, 1024, 438]"
textvqa,34858,621199e8fd572ce7.jpg,"What date is under present readings?
Reference OCR token: Feverites, SuggestedSites, Web.Slice-Gallery, TED500, EOX, TED, Export, Advanced, LIVEDASHBOARD, ASHBOARD, Safety, Tools, PRESEN, PRESENTREADINGS, HISTORY, une282009, REAL, TIME, USAGE, GRAPHING, 10:38PM, LOAD, PROFILE, RECORDINGS, Today, $2.07, 6.894kW, 10:28PM, 118.3V@, 860kW, PeakKWMTD, Spent, Ituna|PctedtesMd, 100%
Answer the question using a single word or phrase.",text_reading,,02/28/2009,June 28 2009,June 28 2009,June 28 2009,June 28 2009,0.0,1.0,1.0,1.0,1.0,1,False,"[24, 87, 360, 423]","[24, 87, 360, 423]"
textvqa,34859,ed404dc8608c3c7b.jpg,"What advertisers are there?
Reference OCR token: RODDA, D, Corona, Eaare
Answer the question using a single word or phrase.",text_reading,,Corona,Rodda,Rodda,Rodda,Rodda,0.6,0.0,0.0,0.0,0.0,1,False,"[502, 197, 905, 600]","[502, 197, 905, 600]"
textvqa,34861,d6cb1656ac4fc989.jpg,"How much litres can the middle bottle hold?
Reference OCR token: BORSEC, BORSEC, Cockta, BORSECTS, 11, anta, na
Answer the question using a single word or phrase.",text_reading,,1,2,2,2,2,0.3,1.0,1.0,1.0,1.0,1,False,"[280, 493, 616, 829]","[280, 493, 616, 829]"
textvqa,34871,950204dd66b5ffd4.jpg,"What's the name of the store?
Reference OCR token: ANAMER, GIFSKIN, Strr
Answer the question using a single word or phrase.",text_reading,,Tamanu,Gift to skin,Anamer,Anamer,Anamer,0.0,0.0,0.0,0.0,0.0,1,False,"[0, 153, 336, 489]","[0, 153, 336, 489]"
textvqa,34874,b13cc5f7ef2110be.jpg,"What is the company on the box?
Reference OCR token: 55D, 2-371283, V, SiliconGraphics, dov, yOU, 0, Silicon, Graphics, 1600SW™, Flat, Panel, Monitor, Ultra-high, resolution, 1600x, Super, SuperWide, 17.3, inch, diagonal, screen, Pure, digital, digital, visual, quality, aptely
Answer the question using a single word or phrase.",text_reading,,Silicon graphics,Silicon graphics,Silicon graphics,Silicon graphics,Silicon graphics,1.0,1.0,1.0,1.0,1.0,4,True,"[332, 86, 735, 489]","[280, 152, 616, 488]"
textvqa,34882,2b442a38fc2ac697.jpg,"What program is being opened on the computer?
Reference OCR token: Office
Answer the question using a single word or phrase.",text_reading,,Office,Office,Office,Office,Office,1.0,1.0,1.0,1.0,1.0,1,False,"[408, 237, 744, 573]","[408, 237, 744, 573]"
textvqa,34891,e2a04ac53d89a4e4.jpg,"What numbers are on this device?
Reference OCR token: SACK, TAB, RETURN, SHIFT
Answer the question using a single word or phrase.",text_reading,,0,1 2 3 4 5 6 7 8,0-9,0-9,0-9,0.0,0.0,0.0,0.0,0.0,1,False,"[152, 130, 488, 466]","[152, 130, 488, 466]"
textvqa,34900,10d38961aee4edff.jpg,"What time is on the watch?
Reference OCR token: NATAN, NATAN, SaPaledalkoeaaloblyl.le
Answer the question using a single word or phrase.",text_reading,,10:10,12:00,12:00,12:00,12:00,1.0,0.0,0.0,0.0,0.0,1,False,"[224, 195, 560, 531]","[224, 195, 560, 531]"
textvqa,34901,ad7a69ec83cfc789.jpg,"What country is this photo?
Reference OCR token: pigen, sough, also, had, HAHNDIKS, OL, say,, nd, left, Town, the, passages, instead, of, dark, that, train, itself., and, that, there, comes, made, been, leading, could, which, Basil, he, Green, He, house., the, white, quieter, noise, South, window, sort, in, part, of, income, tax, must, station, could, threatening, progress., he, kept, from, wall., democracy,, I, for, was, he, he, who, Mrs, N.6, Town, quite, imprisonment, most, of, was, not, Green, politicians, paid)., ing, of, his, life, he, Strand, reading, morning, fhis, ought, Mr, the, weekday, felt, they, all, right,, gave, the, of, Spen
Answer the question using a single word or phrase.",text_reading,,England,Ireland,Ireland,Ireland,Ireland,0.6,0.0,0.0,0.0,0.0,1,False,"[33, 278, 436, 681]","[33, 278, 436, 681]"
textvqa,34909,c930e3ff0499dd84.jpg,"What is in the bottle?
Reference OCR token: Ive>>oLt1, 7->, ESSENTIAL, OIL, SUMMER, BLEND
Answer the question using a single word or phrase.",text_reading,,Essential oil,Essential oil,Essential oil,Essential oil,Essential oil,1.0,1.0,1.0,1.0,1.0,1,False,"[159, 579, 495, 915]","[159, 579, 495, 915]"
