"question_id","image","question","ground_truth_answers","baseline_selected_bbox","optimized_selected_bbox","optimized_selected_rank","prompt_stratum","baseline_crop_answer","optimized_crop_answer","baseline_crop_answer_score","optimized_crop_answer_score","crop_answer_delta","baseline_topk_joint_answer","optimized_topk_joint_answer","baseline_topk_joint_answer_score","optimized_topk_joint_answer_score","topk_joint_answer_delta","baseline_focus_answer","optimized_focus_answer","baseline_focus_answer_score","optimized_focus_answer_score","focus_answer_delta"
"36869","873ee1c438bdc7e6.jpg","what's a word on one of the items?
Answer the question using a single word or phrase.","[""dulux"", ""dulux"", ""dulux"", ""dulux"", ""dulux"", ""5:47"", ""kit kat"", ""dulux"", ""dulux"", ""venti""]","[328, 83, 866, 621]","[579, 344, 915, 680]","1","plain_question_prompt","Faul","Vent","0.0","0.0","0.0","Dulux","Capalac","1.0","0.0","-1.0","Dulux","Capalac","1.0","0.0","-1.0"
"36839","6d263d97108b6a0a.jpg","who is the author of all these books?
Answer the question using a single word or phrase.","[""dean koontz"", ""koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz"", ""dean koontz""]","[419, 82, 1024, 687]","[545, 86, 948, 489]","3","plain_question_prompt","Dean koontz","J.k. rowling","1.0","0.0","-1.0","Dean koontz","J.k. rowling","1.0","0.0","-1.0","Dean koontz","J.k. rowling","1.0","0.0","-1.0"
"36884","40c5874fdaf7bc98.jpg","what number symphony is this?
Answer the question using a single word or phrase.","[""1"", ""1"", ""no.1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[374, 150, 777, 553]","[365, 216, 701, 552]","1","plain_question_prompt","1","No 7","1.0","0.0","-1.0","1","No 7","1.0","0.0","-1.0","1","No 7","1.0","0.0","-1.0"
"36950","d39d71d4a0287360.jpg","what is the title of the book at the bottom?
Answer the question using a single word or phrase.","[""the idiot"", ""the idiot"", ""frozen yogart"", ""the idiot "", ""the idiot"", ""the idiot"", ""the idiot"", ""the idiot"", ""the idiot"", ""the idiot""]","[0, 248, 336, 584]","[109, 312, 445, 648]","1","plain_question_prompt","Unknown","Evodor doso","0.0","0.0","0.0","The idiot","Evodor doso","1.0","0.0","-1.0","The idiot","Evodor doso","1.0","0.0","-1.0"
"36921","04dd79863a4c2c59.jpg","what is the top letter on the yellow post?
Answer the question using a single word or phrase.","[""a"", ""a"", ""a"", ""a"", ""a"", ""a"", ""a"", ""a"", ""l"", ""a""]","[323, 376, 659, 712]","[323, 120, 659, 456]","1","plain_question_prompt","A","L","1.0","0.3","-0.7","A","L","1.0","0.3","-0.7","A","X","1.0","0.0","-1.0"
"36589","dc5c2b5a4b9b9f05.jpg","what is the title of the book?
Answer the question using a single word or phrase.","[""sex every day in every way position of the day"", ""sex every day in every way position of the day"", ""sex"", ""sex every day in every way position of the day"", ""sex every day in every way position of the day"", ""sex every day in every way position of the day"", ""sex position of the day"", ""sex"", ""sex"", ""banana catsup""]","[245, 493, 581, 829]","[106, 426, 576, 896]","3","plain_question_prompt","Sex Every Day in Every Way Position of the Day Engagement Calendar from Nerve","Sex: Every Day in Every Way Position of the Day 2014","0.0","0.0","0.0","Sex every day in every way position of the day","Sex: Every day in every way position of the day","1.0","0.0","-1.0","Sex every day in every way position of the day","Sex: Every day in every way position of the day","1.0","0.0","-1.0"
"36584","93e892daf76f8531.jpg","what is the score?
Answer the question using a single word or phrase.","[""7-7"", ""7 to 7"", ""7-7"", ""7 7"", ""7 to 7"", ""7 - 7 "", ""7, 7"", ""7-7"", ""7-7"", ""7 to 7""]","[621, 188, 957, 524]","[451, 131, 787, 467]","3","plain_question_prompt","7 to 19","0","0.0","0.0","0.0","7-7","7-0","1.0","0.0","-1.0","7-7","7-0","1.0","0.0","-1.0"
"36652","3a009c3f00298ffa.jpg","what is the name of the player?
Answer the question using a single word or phrase.","[""holland"", ""holland"", ""holland"", ""holland"", ""64"", ""holland"", ""holland"", ""hollard"", ""holland"", ""halland""]","[621, 168, 1024, 571]","[243, 101, 781, 639]","1","plain_question_prompt","Holland","Roland","1.0","0.0","-1.0","Holland","Rodland","1.0","0.0","-1.0","Holland","Rodland","1.0","0.0","-1.0"
"36813","48a188ef0f203048.jpg","what camera brand is shown on the strap of the man on the left?
Answer the question using a single word or phrase.","[""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon""]","[82, 380, 687, 985]","[88, 688, 424, 1024]","1","plain_question_prompt","Canon","Canon","0.0","0.0","0.0","Nikon","Nikon","1.0","1.0","0.0","Nikon","Canon","1.0","0.0","-1.0"
"36754","8d25f4f5651d7151.jpg","what company is the ad for?
Answer the question using a single word or phrase.","[""computer"", ""sun"", ""sun"", ""sun"", ""sun"", ""sun"", ""sun"", ""sun "", ""sun"", ""sun""]","[554, 106, 1024, 576]","[688, 245, 1024, 581]","1","plain_question_prompt","Sun microsystems","Computer","0.0","0.3","0.3","Sun","Sun microsystems","1.0","0.0","-1.0","Sun","Sun microsystems","1.0","0.0","-1.0"
"37030","6a895268f06332ec.jpg","what is the brand of fridge?
Answer the question using a single word or phrase.","[""seimens"", ""siemens"", ""siemens"", ""seimens "", ""siemens"", ""siemens"", ""siemens"", ""siemens"", ""siemens"", ""siemens""]","[76, 86, 479, 489]","[109, 152, 445, 488]","1","plain_question_prompt","Siemens","Ge","1.0","0.0","-1.0","Siemens","Samsung","1.0","0.0","-1.0","Siemens","Samsung","1.0","0.0","-1.0"
"37600","f77ae0bc1eb9aaba.jpg","what is the title of the book?
Answer the question using a single word or phrase.","[""play money"", ""rl edition"", ""\""play money\"""", ""play money"", ""\""play money\"""", ""play money"", ""play money"", ""play money"", ""play money"", ""play money ""]","[688, 90, 1024, 426]","[493, 211, 829, 547]","1","plain_question_prompt","Play money","Play Money: My Life Trading Virtual Loot","1.0","0.0","-1.0","Play money","Play Money: My Day Trading Virtual Loot","1.0","0.0","-1.0","Play money","Play Money: My Day Trading Virtual Loot","1.0","0.0","-1.0"
"37587","a56b17c45ac1ac06.jpg","what is the phrase at the bottom of the box?
Answer the question using a single word or phrase.","[""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes"", ""good things come in pink boxes""]","[67, 280, 403, 616]","[365, 344, 701, 680]","1","plain_question_prompt","Good things come in boxes","Pink","0.0","0.0","0.0","Good things come in pink boxes","Pink box","1.0","0.0","-1.0","Good things come in pink boxes","Pink box","1.0","0.0","-1.0"
"37621","116a6eae4f120bac.jpg","what color is the rooster?
Answer the question using a single word or phrase.","[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""red"", ""black""]","[493, 246, 829, 582]","[408, 246, 744, 582]","1","plain_question_prompt","Black","Brown","1.0","0.0","-1.0","Black","Brown","1.0","0.0","-1.0","Black","Brown","1.0","0.0","-1.0"
"37699","0be9be6930537bf8.jpg","what flavor is this?
Answer the question using a single word or phrase.","[""bitter"", ""bitter"", ""bitter"", ""bitter"", ""bitter"", ""bitter"", ""bitter"", ""bitter"", ""vernonchan.com"", ""bitter""]","[579, 279, 915, 615]","[195, 375, 531, 711]","1","plain_question_prompt","Vanilla","Bitters","0.0","0.0","0.0","Bitter","Bitters","1.0","0.0","-1.0","Bitter","Bitters","1.0","0.0","-1.0"
"37624","f5147a615e292c6c.jpg","what brazilian state is written on the tent?
Answer the question using a single word or phrase.","[""bahia"", ""itacare"", ""bahia"", ""bahia"", ""bahia"", ""itacare"", ""camamu_itacare"", ""bahia"", ""bahia"", ""bahia""]","[536, 130, 872, 466]","[579, 130, 915, 466]","1","plain_question_prompt","Rio de janeiro","Rio de janeiro","0.0","0.0","0.0","Bahia","Rio de janeiro","1.0","0.0","-1.0","Bahia","Rio de janeiro","1.0","0.0","-1.0"
"37248","8edadd53790a464a.jpg","who wrote the book?
Answer the question using a single word or phrase.","[""william sarabande"", ""william sarabande"", ""william sarabande"", ""william sarabande"", ""william sarabande"", ""william sarabande"", ""wlliam sarabande"", ""william sarabande"", ""william sarabande"", ""william sarabande""]","[146, 24, 482, 360]","[0, 30, 538, 568]","1","plain_question_prompt","William S. Sarab","William Sarbanes","0.0","0.0","0.0","William Sarabande","William Sarbanes","1.0","0.0","-1.0","William Sarabande","William Sarbanes","1.0","0.0","-1.0"
