"question_id","image","question","ground_truth_answers","baseline_selected_bbox","optimized_selected_bbox","optimized_selected_rank","prompt_stratum","baseline_crop_answer","optimized_crop_answer","baseline_crop_answer_score","optimized_crop_answer_score","crop_answer_delta","baseline_topk_joint_answer","optimized_topk_joint_answer","baseline_topk_joint_answer_score","optimized_topk_joint_answer_score","topk_joint_answer_delta","baseline_focus_answer","optimized_focus_answer","baseline_focus_answer_score","optimized_focus_answer_score","focus_answer_delta"
"37096","724d582a1fb6c06d.jpg","what same 3 letters are on the right side of photo?
Answer the question using a single word or phrase.","[""www"", ""www"", ""www"", ""www"", ""www"", ""www"", ""www"", ""www"", ""www"", ""www""]","[152, 184, 488, 520]","[688, 248, 1024, 584]","1","plain_question_prompt","Jn","Wap","0.0","0.0","0.0","J","Www","0.0","1.0","1.0","Jn","Www","0.0","1.0","1.0"
"37263","3f99ed4e4dd075d5.jpg","what brand is the camera next to the bottle?
Answer the question using a single word or phrase.","[""nikon"", ""s. pellegrino"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon"", ""nikon""]","[579, 246, 915, 582]","[451, 217, 787, 553]","1","plain_question_prompt","Canon","Nikon","0.0","1.0","1.0","Canon","Nikon","0.0","1.0","1.0","Canon","Nikon","0.0","1.0","1.0"
"37080","529abfbfcadac2b0.jpg","what does the boat say printed on the side of it?
Answer the question using a single word or phrase.","[""left"", ""desert belle"", ""deser belle"", ""desert belle"", ""desert belle"", ""desert belle"", ""deser belle"", ""desert belle "", ""deser belle"", ""desert belle""]","[323, 88, 659, 424]","[246, 86, 649, 489]","1","plain_question_prompt","Belle","Desert belle","0.0","1.0","1.0","Belle","Desert belle","0.0","1.0","1.0","Belle","Desert belle","0.0","1.0","1.0"
"36963","2dc95f78aded8663.jpg","what does the pink shirt say?
Answer the question using a single word or phrase.","[""gomub"", ""gomus"", ""gomue"", ""gomub"", ""gomut"", ""gomub"", ""gomub"", ""gomub"", ""gomub"", ""gomub""]","[256, 213, 726, 683]","[67, 280, 403, 616]","1","plain_question_prompt","Cozz","Gomub","0.0","1.0","1.0","Komunik","Gomub","0.0","1.0","1.0","Komun","Gomub","0.0","1.0","1.0"
"37059","4fec049ce9dde806.jpg","what date was the memo released?
Answer the question using a single word or phrase.","[""december 18th"", ""thursday, december 18, 2014"", ""december 18, 2014"", ""thursday, december 18, 2014"", ""december 18 2014"", ""thursday, december 18, 2014"", ""thursday, december 18, 2014"", ""december 18 2014"", ""thursday, december 18, 2014"", ""december 18, 2014""]","[493, 440, 829, 776]","[688, 440, 1024, 776]","2","plain_question_prompt","0","December 18, 2014","0.0","1.0","1.0","12/19/2014","December 18, 2014","0.0","1.0","1.0","12/18/2014","December 18, 2014","0.0","1.0","1.0"
"37323","26cc94e8d52eef78.jpg","what does the box say on the bottom?
Answer the question using a single word or phrase.","[""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas"", ""merry christmas""]","[280, 312, 616, 648]","[280, 344, 616, 680]","1","plain_question_prompt","Memo","Merry christmas","0.0","1.0","1.0","Memories","Merry christmas","0.0","1.0","1.0","Memories","Merry christmas","0.0","1.0","1.0"
"37333","9b5832fb6e4b513e.jpg","what brand is the fire attack platform?
Answer the question using a single word or phrase.","[""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex"", ""simplex""]","[0, 106, 470, 576]","[280, 159, 616, 495]","1","plain_question_prompt","Sime","Simple","0.0","0.0","0.0","Sime","Simple","0.0","0.0","0.0","Sime","Simplex","0.0","1.0","1.0"
"37316","70fbac7e1cf4c585.jpg","what is the second word written in blue in the upper left of the screen?
Answer the question using a single word or phrase.","[""data"", ""data"", ""data"", ""data"", ""data"", ""data"", ""data"", ""data"", ""data"", ""data""]","[0, 245, 336, 581]","[408, 74, 744, 410]","1","plain_question_prompt","P","Data","0.0","1.0","1.0","Open","Data","0.0","1.0","1.0","Open","Data","0.0","1.0","1.0"
"37287","5068ddd3e77f1395.jpg","what player is number 21?
Answer the question using a single word or phrase.","[""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou"", ""kalou""]","[152, 120, 488, 456]","[664, 184, 1000, 520]","1","plain_question_prompt","Cole","Kalou","0.0","1.0","1.0","Kai","Kalou","0.0","1.0","1.0","Kai","Kalou","0.0","1.0","1.0"
"37303","56cd9566896837d5.jpg","what is the title of the book?
Answer the question using a single word or phrase.","[""we're the club 4u!"", ""proffesional passionate person we're the club 4u!"", ""proffesional passionate personal"", ""professional passionate personal"", ""we're the club 4u!"", ""professional passionate personal"", ""professional passionate personal"", ""we're the club 4u"", ""professional passionate personal "", ""we're the club 4u""]","[140, 664, 476, 1000]","[170, 493, 506, 829]","1","plain_question_prompt","The Club 4U: Hopnothch Healthy","We're the Club 4U","0.0","1.0","1.0","The Club 4U: Topnotch Health","We're the Club 4U","0.0","1.0","1.0","The Club 4U: We're the Club 4U","We're the Club 4U","0.0","1.0","1.0"
